run	1788475594.0325	-	START
case	1788476458.9456	-	S4.sanctioned-helper-missing-fails
sandbox.hooks	1788476458.9638	1788476459.0632	copy-hooks
sandbox.root	1788476459.0632	1788476459.1924	copy-root-scripts
sandbox.settings	1788476459.1924	1788476459.2180	write-config-and-settings
sandbox.sidecars	1788476459.2180	1788476460.0794	gen-sidecars
sandbox	1788476458.9638	1788476460.0794	TOTAL
case	1788476470.6741	-	IP1.interactive-prompt-guard-not-wired-fails
sandbox.hooks	1788476470.6911	1788476470.7830	copy-hooks
sandbox.root	1788476470.7830	1788476470.9014	copy-root-scripts
sandbox.settings	1788476470.9014	1788476470.9263	write-config-and-settings
sandbox.sidecars	1788476470.9263	1788476471.7778	gen-sidecars
sandbox	1788476470.6911	1788476471.7778	TOTAL
case	1788476482.9604	-	IP2.interactive-prompt-guard-wired-twice-fails
sandbox.hooks	1788476482.9773	1788476483.0816	copy-hooks
sandbox.root	1788476483.0816	1788476483.2151	copy-root-scripts
sandbox.settings	1788476483.2151	1788476483.2415	write-config-and-settings
sandbox.sidecars	1788476483.2415	1788476484.1541	gen-sidecars
sandbox	1788476482.9773	1788476484.1541	TOTAL
case	1788476495.1936	-	IP3.gutted-interactive-prompt-guard-fails
sandbox.hooks	1788476495.2105	1788476495.3179	copy-hooks
sandbox.root	1788476495.3179	1788476495.4494	copy-root-scripts
sandbox.settings	1788476495.4494	1788476495.4758	write-config-and-settings
sandbox.sidecars	1788476495.4758	1788476496.3861	gen-sidecars
sandbox	1788476495.2105	1788476496.3861	TOTAL
case	1788476507.3892	-	IP4.shape-table-missing-fails
sandbox.hooks	1788476507.4064	1788476507.5060	copy-hooks
sandbox.root	1788476507.5060	1788476507.6326	copy-root-scripts
sandbox.settings	1788476507.6326	1788476507.6586	write-config-and-settings
sandbox.sidecars	1788476507.6586	1788476508.5874	gen-sidecars
sandbox	1788476507.4064	1788476508.5874	TOTAL
case	1788476520.2258	-	IP5.dead-guard-that-refuses-everything-fails-despite-matching-hash
case	1788476529.9824	-	IP6.interactive-prompt-guard-suite-passes
case	1788476655.5022	-	IP7.interactive-prompt-mutations-all-load-bearing
sandbox.hooks	1788476655.5081	1788476655.6127	copy-hooks
sandbox.root	1788476655.6127	1788476655.7491	copy-root-scripts
sandbox.settings	1788476655.7491	1788476655.7756	write-config-and-settings
sandbox.sidecars	1788476655.7756	1788476656.7581	gen-sidecars
sandbox	1788476655.5081	1788476656.7581	TOTAL
case	1788476667.7585	-	IL1.idle-land-gate-not-wired-fails
sandbox.hooks	1788476667.7779	1788476667.8878	copy-hooks
sandbox.root	1788476667.8878	1788476668.0254	copy-root-scripts
sandbox.settings	1788476668.0254	1788476668.0517	write-config-and-settings
sandbox.sidecars	1788476668.0517	1788476668.9796	gen-sidecars
sandbox	1788476667.7779	1788476668.9796	TOTAL
case	1788476679.7781	-	IL2.missing-analyzer-fails
sandbox.hooks	1788476679.7970	1788476679.9016	copy-hooks
